NO,YEAR,Y_distress,X1_gross_profit,X2_net_profit_margin,X3_current_ratio,X4_quick_ratio,X5_cash_ratio,X6_receivable_turnover,X7_inventory_turnover,X8_leverage_asset,X9_leverage_equity,X10_dscr,X11_asset_coverage,X12_mbv,X13_indep_commissioner,X14_board_diversity,X15_corruption_index,SHARE_CODE,IEQ_equity_to_liability,equity_negative,equity_negative_2yr,X1_gross_profit_frac,X2_net_profit_margin_frac,X8_leverage_asset_frac,X9_leverage_equity_frac,flag_extreme_X1_gross_profit,flag_extreme_X2_net_profit_margin,flag_extreme_X3_current_ratio,flag_extreme_X4_quick_ratio,flag_extreme_X5_cash_ratio,flag_extreme_X6_receivable_turnover,flag_extreme_X7_inventory_turnover,flag_extreme_X8_leverage_asset,flag_extreme_IEQ_equity_to_liability,flag_extreme_X10_dscr,flag_extreme_X11_asset_coverage,flag_extreme_X12_mbv,n_extreme_flags
11,2013,0,32.2,15.01,0.45,0.24,0.18862463806089755,616.6682397586844,15.784989127971128,31.37921125107681,45.728432772596506,0.6399007865473169,11.969161362553494,3.849497689829983,0.5,0.0,32,AALI,2.1868232505865937,0,,0.322,0.1501,0.3137921125107681,0.45728432772596506,0,0,0,0,0,1,0,0,0,0,0,0,1
10,2014,0,30.37,16.08,0.58,0.27,0.14867129413968286,343.6351394069672,12.757668294056897,36.23820096324473,56.83371785409529,0.5534633762223489,5.526001282786301,3.2269970122812848,0.0,0.2222222222222222,34,AALI,1.759518887304225,0,0.0,0.3037,0.16079999999999997,0.36238200963244727,0.5683371785409529,0,0,0,0,0,1,0,0,0,0,0,0,1
9,2015,0,23.6,5.33,0.8,0.32,0.08359735421689073,148.35634926044577,7.720151929414895,45.618328170335104,83.88548317017825,0.18883549577809697,2.859473593611394,2.133529591572186,0.6,0.0,36,AALI,1.1921013770300433,0,0.0,0.23600000000000002,0.0533,0.45618328170335104,0.8388548317017824,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2016,0,26.03,14.97,1.1,0.5,0.13481801901968746,24.383940627773576,5.907582933431951,27.162110122031336,37.29118205859376,0.40022315843857736,7.59791610413479,1.8124957636345387,0.5,0.0,37,AALI,2.681599093396262,0,0.0,0.26030000000000003,0.1497,0.27162110122031335,0.37291182058593764,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2017,0,23.95,11.96,1.94,0.96,0.1135749845090774,24.555817745041143,7.681782226913622,25.506495742031653,34.23989245250642,0.4761723342050702,5.5665638044617545,1.3525548530507212,0.3333333333333333,0.0,37,AALI,2.9205699211441254,0,0.0,0.2395,0.11960000000000001,0.25506495742031654,0.34239892452506415,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2018,0,18.55,7.97,1.46,0.64,0.015953688083652686,28.766283958042234,7.504113731180132,27.48800711562106,37.90822182952681,0.3150590353195994,5.522737211486989,1.168677697852096,0.3333333333333333,0.5,38,AALI,2.637950164207115,0,0.0,0.1855,0.0797,0.2748800711562106,0.3790822182952681,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2019,0,12.29,1.4,2.85,1.48,0.24468634415499452,23.01730841259542,8.07704244248497,29.64172997795962,42.129702689781986,0.12010460257063982,3.952095652833983,1.4781090467916713,0.6666666666666666,0.25,40,AALI,2.373622257349889,0,0.0,0.1229,0.013999999999999999,0.2964172997795962,0.42129702689781984,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2020,0,15.75,4.75,3.31,1.96,0.5461024956122881,13.53040250823031,7.759523001051682,30.716554640793277,44.33462348983993,0.2158751508917216,3.8553613736737553,1.2324416867839505,0.4,0.3333333333333333,37,AALI,2.2555734576818227,0,0.0,0.1575,0.0475,0.30716554640793275,0.44334623489839925,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2021,0,19.86,8.5,1.58,1.02,0.6536515359046614,41.631873088253165,7.337036334276429,30.357768211520124,43.591032957880984,0.37162826143090283,7.477659127562427,0.8636526263093689,0.3333333333333333,0.0,38,AALI,2.2940497899332444,0,0.0,0.1986,0.085,0.30357768211520125,0.4359103295788098,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2022,0,17.51,8.21,3.6,1.95,0.7889255355371008,24.296373674075888,6.429239050590745,23.953084069589263,31.497771837990552,0.33690735198759825,5.490695068622582,0.694396907369216,0.5,0.5,34,AALI,3.1748277470022988,0,0.0,0.1751,0.0821,0.23953084069589262,0.3149777183799055,0,0,0,0,0,0,0,0,0,0,0,0,0
